Time,power
2018-01-01 00:00:00-06,1.6392895927601812
2018-01-01 00:15:00-06,1.6572217194570136
2018-01-01 00:30:00-06,1.5347511312217197
2018-01-01 00:45:00-06,1.4540859728506783
2018-01-01 01:00:00-06,1.4154796380090502
2018-01-01 01:15:00-06,1.4701493212669683
2018-01-01 01:30:00-06,1.5027511312217197
2018-01-01 01:45:00-06,1.4936018099547514
2018-01-01 02:00:00-06,1.3886515837104072
2018-01-01 02:15:00-06,1.4436199095022626
2018-01-01 02:30:00-06,1.4113212669683255
2018-01-01 02:45:00-06,1.4388506787330315
2018-01-01 03:00:00-06,1.4423619909502263
2018-01-01 03:15:00-06,1.4998914027149322
2018-01-01 03:30:00-06,1.530443438914027
2018-01-01 03:45:00-06,1.5454162895927603
2018-01-01 04:00:00-06,1.5120814479638012
2018-01-01 04:15:00-06,1.4847918552036201
2018-01-01 04:30:00-06,1.5974117647058823
2018-01-01 04:45:00-06,1.513497737556561
2018-01-01 05:00:00-06,1.4720814479638011
2018-01-01 05:15:00-06,1.4997647058823529
2018-01-01 05:30:00-06,1.5211990950226244
2018-01-01 05:45:00-06,1.4940180995475112
2018-01-01 06:00:00-06,1.4733393665158374
2018-01-01 06:15:00-06,1.5199728506787333
2018-01-01 06:30:00-06,1.5478823529411765
2018-01-01 06:45:00-06,1.563796380090498
2018-01-01 07:00:00-06,1.580217194570136
2018-01-01 07:15:00-06,1.6219411764705882
2018-01-01 07:30:00-06,1.5616470588235292
2018-01-01 07:45:00-06,1.4429457013574658
2018-01-01 08:00:00-06,1.4697149321266967
2018-01-01 08:15:00-06,1.4726696832579187
2018-01-01 08:30:00-06,1.6659276018099551
2018-01-01 08:45:00-06,1.6846289592760182
2018-01-01 09:00:00-06,1.5830135746606335
2018-01-01 09:15:00-06,1.7392352941176472
2018-01-01 09:30:00-06,1.6614886877828052
2018-01-01 09:45:00-06,1.6303936651583708
2018-01-01 10:00:00-06,1.6635565610859726
2018-01-01 10:15:00-06,1.6216380090497735
2018-01-01 10:30:00-06,1.6643936651583708
2018-01-01 10:45:00-06,1.6443076923076918
2018-01-01 11:00:00-06,1.692954751131222
2018-01-01 11:15:00-06,1.6536380090497738
2018-01-01 11:30:00-06,1.7356470588235295
