Time,power_t,power_t-1,power_t-2,power_t-3,power_t-4,power_t-5,power_t-6,power_t-7,power_t-8,power_t-9,power_t-10,power_t-11,power_t-12,power_t-13,power_t-14,power_t-15,power_t-16
2018-06-01 04:00:00-05,1.138138613861386,1.27519801980198,1.2525396039603962,1.3294455445544555,1.3089851485148516,1.2627970297029705,1.1834653465346534,1.3791039603960396,1.3471138613861384,1.4374504950495048,1.4331534653465348,1.5906831683168317,1.6625940594059407,1.610009900990099,1.6477128712871285,1.7610049504950491,1.88020297029703
2018-06-01 04:15:00-05,1.2489653465346535,1.138138613861386,1.27519801980198,1.2525396039603962,1.3294455445544555,1.3089851485148516,1.2627970297029705,1.1834653465346534,1.3791039603960396,1.3471138613861384,1.4374504950495048,1.4331534653465348,1.5906831683168317,1.6625940594059407,1.610009900990099,1.6477128712871285,1.7610049504950491
2018-06-01 04:30:00-05,1.1436980198019802,1.2489653465346535,1.138138613861386,1.27519801980198,1.2525396039603962,1.3294455445544555,1.3089851485148516,1.2627970297029705,1.1834653465346534,1.3791039603960396,1.3471138613861384,1.4374504950495048,1.4331534653465348,1.5906831683168317,1.6625940594059407,1.610009900990099,1.6477128712871285
2018-06-01 04:45:00-05,1.2341237623762376,1.1436980198019802,1.2489653465346535,1.138138613861386,1.27519801980198,1.2525396039603962,1.3294455445544555,1.3089851485148516,1.2627970297029705,1.1834653465346534,1.3791039603960396,1.3471138613861384,1.4374504950495048,1.4331534653465348,1.5906831683168317,1.6625940594059407,1.610009900990099
2018-06-01 05:00:00-05,1.2889851485148516,1.2341237623762376,1.1436980198019802,1.2489653465346535,1.138138613861386,1.27519801980198,1.2525396039603962,1.3294455445544555,1.3089851485148516,1.2627970297029705,1.1834653465346534,1.3791039603960396,1.3471138613861384,1.4374504950495048,1.4331534653465348,1.5906831683168317,1.6625940594059407
2018-06-01 05:15:00-05,1.1195594059405942,1.2889851485148516,1.2341237623762376,1.1436980198019802,1.2489653465346535,1.138138613861386,1.27519801980198,1.2525396039603962,1.3294455445544555,1.3089851485148516,1.2627970297029705,1.1834653465346534,1.3791039603960396,1.3471138613861384,1.4374504950495048,1.4331534653465348,1.5906831683168317
2018-06-01 05:30:00-05,1.1144504950495049,1.1195594059405942,1.2889851485148516,1.2341237623762376,1.1436980198019802,1.2489653465346535,1.138138613861386,1.27519801980198,1.2525396039603962,1.3294455445544555,1.3089851485148516,1.2627970297029705,1.1834653465346534,1.3791039603960396,1.3471138613861384,1.4374504950495048,1.4331534653465348
2018-06-01 05:45:00-05,1.0748564356435644,1.1144504950495049,1.1195594059405942,1.2889851485148516,1.2341237623762376,1.1436980198019802,1.2489653465346535,1.138138613861386,1.27519801980198,1.2525396039603962,1.3294455445544555,1.3089851485148516,1.2627970297029705,1.1834653465346534,1.3791039603960396,1.3471138613861384,1.4374504950495048
2018-06-01 06:00:00-05,1.0248069306930694,1.0748564356435644,1.1144504950495049,1.1195594059405942,1.2889851485148516,1.2341237623762376,1.1436980198019802,1.2489653465346535,1.138138613861386,1.27519801980198,1.2525396039603962,1.3294455445544555,1.3089851485148516,1.2627970297029705,1.1834653465346534,1.3791039603960396,1.3471138613861384
2018-06-01 06:15:00-05,1.1034356435643564,1.0248069306930694,1.0748564356435644,1.1144504950495049,1.1195594059405942,1.2889851485148516,1.2341237623762376,1.1436980198019802,1.2489653465346535,1.138138613861386,1.27519801980198,1.2525396039603962,1.3294455445544555,1.3089851485148516,1.2627970297029705,1.1834653465346534,1.3791039603960396
